name,description,image,imageHash,edition,date,attributes_0_trait_type,attributes_0_value,attributes_1_trait_type,attributes_1_value,attributes_2_trait_type,attributes_2_value,attributes_3_trait_type,attributes_3_value
#75,NodeRocks,ipfs://NewUriToReplace/75.png,8319018a3d988630be8e1baf528d474e16fac3d803ba07ad20232f1a5b158b69,75,1702317183749,Body,Bleeding,Hat,Top Hat,Eyes,Gold,,
#76,NodeRocks,ipfs://NewUriToReplace/76.png,ce9e01f02d71e8f65da6f1c1cbeaa38a3bd4ebacc38a84ca2756661783ad03c0,76,1702317183752,Body,Brown,Hat,Blue Bandana,Eyes,Electric,,
#77,NodeRocks,ipfs://NewUriToReplace/77.png,f310fdccc095df224d22b0d40c829303562cecd78863b19c15fd5cc449b875ee,77,1702317183759,Body,Silver,Hat,Tiara,Eyes,Electric,,
#78,NodeRocks,ipfs://NewUriToReplace/78.png,01644ef8b04ef28a2103f4c1615a5df20435835579aa2242e29bb2cfce49929c,78,1702317183764,Body,Blackrock,Hat,Karen,Eyes,Ord,,
#79,NodeRocks,ipfs://NewUriToReplace/79.png,0fed3e8b58ff05cd79289fc070896c53c3db7ccde234b9850d2dc070b78f93be,79,1702317183768,Body,White,Hat,Satoshi Cap,Eyes,Ruby Gold,,
#80,NodeRocks,ipfs://NewUriToReplace/80.png,e7cae37d90521ea17fdea8ec942862463a047985e38e0786d871d0fc93e71954,80,1702317183772,Body,Computer,Hat,Karen,Eyes,VHS,,
#81,NodeRocks,ipfs://NewUriToReplace/81.png,fee3ec427f8e1cb7e747ccb4705d3c6434d1349ffc095e7b4507de00dfc627a2,81,1702317183776,Body,Brown,Hat,Orange Bandana,Eyes,Safemode,,
#82,NodeRocks,ipfs://NewUriToReplace/82.png,42fbc5fcaf3c2555f7102593088b31fc66ec88d773d812689963b7b02ca195f6,82,1702317183780,Body,Classic,Hat,Wagie,Eyes,Electric,Mouth,Blunt
#83,NodeRocks,ipfs://NewUriToReplace/83.png,8293770d2e47441575745a18a0d0632b7055c8c6d13fa0f83a436d9651830887,83,1702317183783,Body,Brown,Hat,Blue Bandana,Eyes,Stare,,
#84,NodeRocks,ipfs://NewUriToReplace/84.png,7e388653f9e78a33c218abdb8e011aaf1f27e9de16b364ca67b50c94a3a00cd9,84,1702317183787,Body,Classic,Hat,USBC,Eyes,OMB,,
#85,NodeRocks,ipfs://NewUriToReplace/85.png,978743b6cd80933ecd6efd94a331e12579d907fb794347217276a2339716edf1,85,1702317183791,Body,Classic,Hat,Cowboy,Eyes,Lashes,,
#86,NodeRocks,ipfs://NewUriToReplace/86.png,b333e2c6cfbcaa3bf0868052a2648f67c6599af022a1ec2734f17e6b2c9d6d68,86,1702317183795,Body,Bleeding,Hat,Grey Mohawk,Eyes,Electric,,
#87,NodeRocks,ipfs://NewUriToReplace/87.png,5cd135935bd4a43b8dd9ea8f1366935d344fe70147869cab34cfce193aede734,87,1702317183799,Body,Mosaic,Hat,White Fro,Eyes,Ord,,
#88,NodeRocks,ipfs://NewUriToReplace/88.png,e1d2582dd05fe8802d180200d4c08967aabdb1de8e5f877e280afea89635afc5,88,1702317183803,Body,Computer,Hat,Police,Eyes,Electric,,
#89,NodeRocks,ipfs://NewUriToReplace/89.png,a464ce7914fa01af45cdd26522746c594229c66d1aa9311be1d3c42b10ed1f0f,89,1702317183808,Body,Demon,Hat,Captain,Eyes,Electric,Mouth,Blunt
#90,NodeRocks,ipfs://NewUriToReplace/90.png,ca9f8b6db3b11e2f40a8d3b7f13de197cd3fd33aa8f963a4eed2b97193767ccc,90,1702317183814,Body,Lapis Lazuli,Hat,Tiara,Eyes,Three,,
#91,NodeRocks,ipfs://NewUriToReplace/91.png,3e7f3a157598f162743224b16b6f7191e167c9498be8843585262b986a962078,91,1702317183819,Body,White,Hat,Emo,Eyes,Purple Visor,,
#92,NodeRocks,ipfs://NewUriToReplace/92.png,ee748eb10c6efeec289ef2d5c2537aec13c755d9e50a4b18b406c158c75ede86,92,1702317183822,Body,Rainbow,Hat,Orange Bandana,Eyes,Gold,,
#93,NodeRocks,ipfs://NewUriToReplace/93.png,37b83b01a303b44c70cf2bbba86c4b493143703a40d49fff6f87ef08ca376cb5,93,1702317183826,Body,Computer,Hat,Captain,Eyes,Gloss,Mouth,Cigarette
#94,NodeRocks,ipfs://NewUriToReplace/94.png,122bcf0f74dba4f78639f1d7b2ceec7421672f03bbe5ef9b0c0393bcf8fdac35,94,1702317183830,Body,Brown,Hat,Rock Sailor,Eyes,VHS,,
#95,NodeRocks,ipfs://NewUriToReplace/95.png,c36c7e1f309fa13ce2ff58c088ecf5dac9ed6888438ba3d3002617f4b26dd82e,95,1702317183834,Body,Blackrock,Hat,White Fro,Eyes,Ord,,
#96,NodeRocks,ipfs://NewUriToReplace/96.png,488e95a57f7de18ad1e10009c4dd8b4503dee63bf15abad2d9af911f66127f35,96,1702317183838,Body,Blackrock,Hat,Fro,Eyes,Blue Cover,,
#97,NodeRocks,ipfs://NewUriToReplace/97.png,6a19421fe6ee136a680fd8a8f0007f9ea7134de5e0292c241b736361cc643473,97,1702317183841,Body,Bleeding,Hat,Blue Bandana,Eyes,VHS,,
#98,NodeRocks,ipfs://NewUriToReplace/98.png,891b18162b80c0f6211d20423a2fdf29878536de0730ce80f31b8e5ca4ac5a1a,98,1702317183846,Body,Classic,Hat,Crystalized,Eyes,Binary,,
#99,NodeRocks,ipfs://NewUriToReplace/99.png,afaa4ac0b8e850170e5f5cc6812acd721e55d3db35280ff8437fbccf26cab541,99,1702317183850,Body,Green,Hat,Police,Eyes,Gold,,
#100,NodeRocks,ipfs://NewUriToReplace/100.png,a6e57e2c36a4aafb72b3ce272c961ba1f8e7ea0895b78a4baf9b137f9a614bc0,100,1702317183854,Body,Brown,Hat,Emo,Eyes,Bored,,
#101,NodeRocks,ipfs://NewUriToReplace/101.png,d5f4c64fcf482058b345db6b5d126e3265235facef5b1869c27e313572d24a63,101,1702317183857,Body,Classic,Hat,Fez,Eyes,VHS,,
#102,NodeRocks,ipfs://NewUriToReplace/102.png,0a93f0be9064c5687040962b1db94ee9de821dce3e015b31114ace25cc0903f2,102,1702317183862,Body,White,Hat,Fez,Eyes,Ruby Gold,,
#103,NodeRocks,ipfs://NewUriToReplace/103.png,59bbe0adef1d9cb110f1c9b688099cb677117f0b9559200c17511d9d09766bec,103,1702317183866,Body,Rock Johnson,Hat,Blue Bandana,Eyes,3d,,
#104,NodeRocks,ipfs://NewUriToReplace/104.png,7cb5edff5ee5ea2da096d504dc9c9a0fdd6d717e5dfe8af57a884b3698a75b3e,104,1702317183870,Body,Zombie,Hat,Lightning,Eyes,Eyepatch,,
#105,NodeRocks,ipfs://NewUriToReplace/105.png,c22cf9cefc3b1507060789b624fb22799f0d2642d84473c696901c287f1295da,105,1702317183873,Body,Brown,Hat,Cowboy,Eyes,Gold,,
#106,NodeRocks,ipfs://NewUriToReplace/106.png,cf7fea90cbec8507965a8de4e85852f713b73361044384c29f7eeeb67e62ca01,106,1702317183877,Body,Green,Hat,Black Bucket,Eyes,Rainbow,,
#107,NodeRocks,ipfs://NewUriToReplace/107.png,83c132f719c77bd04dd3aa593f75a93f3d75a3d271d116ebde4b03035ae9c35f,107,1702317183882,Body,Bleeding,Hat,Fez,Eyes,Binary,,
#108,NodeRocks,ipfs://NewUriToReplace/108.png,12e095d744183be6ef2636e3499ad4bf43975d50599146868421bb1c582f0e2c,108,1702317183886,Body,Bleeding,Hat,Cowboy,Eyes,Gloss,,
#109,NodeRocks,ipfs://NewUriToReplace/109.png,4a92ca5bae2f893e89d27e5578838f77d1a3f88bfd1d89312e6dcae26f7f3253,109,1702317183890,Body,Bleeding,Hat,Grey Mohawk,Eyes,Eyepatch,,
#110,NodeRocks,ipfs://NewUriToReplace/110.png,387849c5ff4ce053d0d2b5419cbb2b765d30d6fd25dc72b90451d19a0b816ef0,110,1702317183894,Body,White,Hat,USB,Eyes,Purple Visor,,
#111,NodeRocks,ipfs://NewUriToReplace/111.png,cb67408920413f6481126d3a2d833775468e183ac622781bc368d75266737aa5,111,1702317183898,Body,Bleeding,Hat,Black Messy,Eyes,Lashes,,
#112,NodeRocks,ipfs://NewUriToReplace/112.png,5213614777cee794a70cc272fe088a5a300be34126bd204c454d42a0e7e9accf,112,1702317183903,Body,Blackrock,Hat,Black Bucket,Eyes,Eyepatch,,
#113,NodeRocks,ipfs://NewUriToReplace/113.png,7dfd7364e4f2861a835c81fb01ddbdeb2eb201c0a2a2d2de3c68dfbb38266379,113,1702317183907,Body,VHS,Eyes,Three,,,,
#114,NodeRocks,ipfs://NewUriToReplace/114.png,3e8153b9f73b70d506f565b84c68acc74c61bfa0a4eb7d774e13412e9ba64def,114,1702317183913,Body,Blackrock,Hat,Wagie,Eyes,Ooga,,
#115,NodeRocks,ipfs://NewUriToReplace/115.png,1a5fc85c34e2a9ca5db5e423ae5d537145cfac30dcdfa4175976fdf3690b8651,115,1702317183918,Body,Bleeding,Hat,Purple Cap,Eyes,Lashes,,
#116,NodeRocks,ipfs://NewUriToReplace/116.png,07be1d464fb5adf236b5606ce587001b632297cd211680f25b91b70739729bee,116,1702317183922,Body,Rainbow,Hat,Karen,Eyes,Phase,,
#117,NodeRocks,ipfs://NewUriToReplace/117.png,c8ef04d03643dba1db589356748aae382fd6609e81b73516afecb39d2097f26e,117,1702317183928,Body,Rainbow,Hat,Orange Bandana,Eyes,Blue Cover,,
#118,NodeRocks,ipfs://NewUriToReplace/118.png,5fa039f6bb563db2edf12293f965b7861d70f9358cf09beda76b4023cc77a2b5,118,1702317183932,Body,Mosaic,Hat,Black Mohawk,Eyes,Binary,,
#119,NodeRocks,ipfs://NewUriToReplace/119.png,45efc0851db8dec72633b6c742e6597ee51032d3176f3603cd1c86d59f98b024,119,1702317183936,Body,Gold,Hat,White Bucket,Eyes,Stoned,,
#120,NodeRocks,ipfs://NewUriToReplace/120.png,ab6b6c2812de75df7fd0ba85b8304fe1ad25b57c05b90d7bf0a9f945c221f67d,120,1702317183940,Body,VHS,Hat,USBC,Eyes,Bored,,
#121,NodeRocks,ipfs://NewUriToReplace/121.png,a2b47bf0c10e0d732c78e1b4419af92b59ce0871a4fcbfc25a208ebf60e7bfd3,121,1702317183944,Body,White,Hat,Black Mohawk,Eyes,Rainbow,,
#122,NodeRocks,ipfs://NewUriToReplace/122.png,32e2c1a52a203f4ecd86a7fce77174ac488cfbcd083ec0ec6dc5fd0595da8dd4,122,1702317183948,Body,Lapis Lazuli,Hat,Satoshi Cap,Eyes,Bored,Mouth,Cigarette
#123,NodeRocks,ipfs://NewUriToReplace/123.png,e18aa9dbf0dd510a91dc788526fd23071b169d18ca4a879457f2b0e81bc2b422,123,1702317183952,Body,White,Hat,Black Beanie,Eyes,Ooga,,
#124,NodeRocks,ipfs://NewUriToReplace/124.png,b1d0499b055f95e763767927af5c35b0de7886c34b2579d468af364388ed4a88,124,1702317183956,Body,White,Hat,Fro,Eyes,Lashes,,
#125,NodeRocks,ipfs://NewUriToReplace/125.png,557a75d7b2496c1ce93fdfeb122b31989f23fc1702d14bf4934a8a16abf30430,125,1702317183959,Body,Rainbow,Hat,Purple Cap,Eyes,Rainbow,,
#126,NodeRocks,ipfs://NewUriToReplace/126.png,125d5e3e9167fc5f2d2ced82d244dc3728e894bdd2ecadf970304e8a37867405,126,1702317183966,Body,Lapis Lazuli,Hat,White Bucket,Eyes,Stare,,
